stop_name,stop_lat,stop_lon,stop_id
MARTIN LUTHER KING J DR@OLLIE ST,33.754747,-84.421316,86
LUCILE AVE @ HOLDERNESS ST,33.742389,-84.426658,87
FAIR ST SW @ JOSEPH E LOWERY BLVD,33.749074,-84.418167,88
WESTVIEW DR SW @ WESTVIEW PL,33.74744,-84.434656,89
MARTIN L KING JR DR NW @ OLLIE ST NW,33.754809,-84.421186,90
NORTH POINT PKY@900,34.08083,-84.25948,91
NORTH POINT PKY@960,34.078413,-84.260238,92
NORTH POINT PKY @ 960,34.078163,-84.260696,93
NORTH POINT PKY @ WEBB BRIDGE RD,34.076401,-84.260458,94
LEE ST SW @ W END AV SW,33.744253,-84.414009,95
LEE ST SW@NORCROSS ST SW,33.743338,-84.413776,96
W END AVE SW @ WELLBORN ST SW,33.744547,-84.415271,97
PETERS ST SW @ HAYNES ST SW,33.749241,-84.399785,98
ATLANTA STUDENT MOVEMENT BLVD @ WALNUT ST SW,33.749182,-84.406514,99
ATLANTA STUDENT MOVEMENT BLVD @ LAWSHE ST SW,33.749365,-84.411219,100
ATLANTA STUDENT MOVEMENT BLVD @ JAMES P BRAWLEY DR SW,33.749556,-84.412599,101
ATLANTA STUDENT MOVEMENT BLVD @ MILTON ST SW,33.749457,-84.414271,102
PETERS ST SW @ FAIR ST SW,33.748085,-84.401161,103
ATLANTA STUDENT MOVEMENT BLVD @ WALNUT ST SW,33.74902,-84.406578,104
ATLANTA STUDENT MOVEMENT BLVD @ ELM ST SW,33.749191,-84.409325,105
ATLANTA STUDENT MOVEMENT BLVD @ JOHN HOPE DR SW,33.749192,-84.410651,106
ATLANTA STUDENT MOVEMENT BLVD @ JAMES P BRAWLEY DR SW,33.749168,-84.413086,107
ATLANTA STUDENT MOVEMENT BLVD @ MILTON ST SW,33.749146,-84.414597,108
MARTIN L KING JR DR @ JOSEPH E LOWERY BLVD,33.754678,-84.417739,109
WHITEHALL ST SW @ SPRING ST SW,33.74608,-84.399046,110
WHITEHALL ST SW @ TED TURNER DR SW,33.745868,-84.399003,111
WHITEHALL ST SW @ 385,33.745305,-84.400559,112
WHITEHALL ST SW@400,33.745123,-84.400643,113
WHITEHALL ST SW @ WHITEHALL TERR SW,33.744147,-84.40299,114
MCDANIEL ST SW @ FULTON ST SW,33.741302,-84.402942,115
WHITEHALL ST SW@WHITEHALL TER SW,33.744002,-84.402927,116
PETERS ST SW @ FAIR ST SW,33.747851,-84.401219,117
PETERS ST SW @ HAYNES ST SW,33.749075,-84.39975,118
MARTIN L KING JR DR NW @ PASCHAL BLVD SW,33.754779,-84.414293,119
NORTHSIDE DR @ LARKIN ST,33.748055,-84.405154,120
NORTHSIDE DR SW @ GREENSFERRY AVE SW,33.746084,-84.406794,121
MARTIN L KING JR DR @ PASCHAL BLVD SW,33.754609,-84.414402,122
MARTIN L KING JR DR @ SUNSET AVE,33.754506,-84.410251,123
NORTHSIDE DR SW @ MITCHELL ST SW,33.753928,-84.402845,124
NORTHSIDE DR SW @ CHAPEL ST SW,33.750867,-84.403255,125
NORTHSIDE DR SW @ ATLANTA STUDENT MOVEMENT BLVD SW,33.749396,-84.404349,126
NORTHSIDE DR SW @ NELSON ST SW,33.750679,-84.403211,127
MARTIN L KING JR DR @ JAMES P BRAWLEY  DR SW,33.754673,-84.412825,128
ATLANTA STUDENT MOVEMENT BLVD @ NORTHSIDE DR SW,33.748929,-84.404936,129
DEERFIELD PKWY @ MORRIS RD,34.090815,-84.27003,130
MARTIN L KING JR DR @ GRIFFIN ST,33.754536,-84.411523,131
MARTIN L KING JR DR NW @ SUNSET AVE NW,33.754738,-84.409923,132
WINDWARD PKWY @ JORDAN CT,34.092278,-84.276484,133
MCDANIEL ST SW @ WHITEHALL ST SW,33.743458,-84.40377,134
MARTIN L KING JR DR NW @ JAMES P BRAWLEY DR NW,33.754736,-84.41263,135
MARTIN L KING JR DR NW @ JOSEPH E LOWERY BLVD NW,33.754759,-84.417391,136
W END AVE @ LEE ST,33.744607,-84.414342,137
SR 9 @ WINDWARD PKWY,34.09459,-84.277967,138
N MAIN ST @ COGBURN RD,34.092248,-84.284312,139
N MAIN ST @ 684,34.092137,-84.288496,140
N MAIN ST @ WATER OAK PL,34.091927,-84.288615,141
DEERFIELD PKWY @ MORRIS RD,34.089933,-84.269247,142
DEERFIELD PKWY @ TWO VERIZON PL,34.09337,-84.270926,143
DEERFIELD PKWY @ THREE VERIZON PL,34.09548,-84.267954,144
N MAIN ST @ WINDWARD PKY W,34.093963,-84.279531,145
OLD MILTON PKY @ BRIDGE POINTE DR,34.06256,-84.24747,146
MEMORIAL DR SE @ CAPITOLE AVE,33.746845,-84.386727,147
MEMORIAL DR SE @ MARTIN ST SE,33.746841,-84.383934,148
MEMORIAL DR SE @ CONNALLY ST SE,33.746833,-84.381564,149
MEMORIAL DR SE @ HILL ST SE,33.74679,-84.379031,150
HILL ST SE @ WOODWARD AVE SE,33.745662,-84.379324,151
PEACHTREE ST SW @ MITCHELL ST SW,33.750787,-84.393057,152
